"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
ERCO,"1/31/2021 8 p.m. CST",7981,0,90,17,16896,10220,5113
ERCO,"1/31/2021 9 p.m. CST",8094,0,90,9,16725,10305,5114
ERCO,"1/31/2021 10 p.m. CST",7210,0,95,7,16766,10495,5114
ERCO,"1/31/2021 11 p.m. CST",6706,0,68,6,16217,10154,5115
ERCO,"2/1/2021 12 a.m. CST",6907,0,50,8,14844,9898,5114
ERCO,"2/1/2021 1 a.m. CST",6909,0,71,7,14836,9058,5115
ERCO,"2/1/2021 2 a.m. CST",6663,0,48,8,15030,8927,5116
ERCO,"2/1/2021 3 a.m. CST",6420,0,47,6,15450,8995,5115
ERCO,"2/1/2021 4 a.m. CST",6478,0,47,6,16074,9032,5115
ERCO,"2/1/2021 5 a.m. CST",6515,0,47,4,17304,9294,5116
ERCO,"2/1/2021 6 a.m. CST",6130,0,47,5,20325,9529,5116
ERCO,"2/1/2021 7 a.m. CST",5529,0,72,7,24588,10054,5116
ERCO,"2/1/2021 8 a.m. CST",4992,48,72,7,26716,10405,5116
ERCO,"2/1/2021 9 a.m. CST",4334,1825,72,13,25269,10345,5117
ERCO,"2/1/2021 10 a.m. CST",4119,4342,71,13,21901,9902,5117
ERCO,"2/1/2021 11 a.m. CST",3576,4679,106,12,20965,9502,5117
ERCO,"2/1/2021 12 p.m. CST",3374,4584,88,11,20388,8914,5118
ERCO,"2/1/2021 1 p.m. CST",2978,4447,55,11,19346,9014,5119
ERCO,"2/1/2021 2 p.m. CST",3141,4508,47,10,18422,8704,5129
ERCO,"2/1/2021 3 p.m. CST",3459,4488,47,18,17743,8279,5128
ERCO,"2/1/2021 4 p.m. CST",3937,4323,47,12,17205,7948,5129
ERCO,"2/1/2021 5 p.m. CST",4030,3766,47,13,17554,8032,5128
